{'loss': 1.3748, 'learning_rate': 4.9620625815654495e-06, 'epoch': 0.02}
{'eval_loss': 1.1406018733978271, 'eval_accuracy': 0.5303867403314917, 'eval_runtime': 300.2176, 'eval_samples_per_second': 16.278, 'eval_steps_per_second': 2.035, 'epoch': 0.68}
{'loss': 1.1052, 'learning_rate': 3.823940028528939e-06, 'epoch': 0.71}
{'loss': 1.1274, 'learning_rate': 3.7860026100943885e-06, 'epoch': 0.73}
{'loss': 1.0938, 'learning_rate': 3.748065191659838e-06, 'epoch': 0.75}
{'loss': 1.1391, 'learning_rate': 3.7101277732252876e-06, 'epoch': 0.77}
{'loss': 1.1105, 'learning_rate': 3.672190354790737e-06, 'epoch': 0.8}
{'loss': 1.1076, 'learning_rate': 3.6342529363561876e-06, 'epoch': 0.82}
{'loss': 1.0885, 'learning_rate': 3.596315517921637e-06, 'epoch': 0.84}
{'loss': 1.1014, 'learning_rate': 3.5583780994870863e-06, 'epoch': 0.86}
{'loss': 1.104, 'learning_rate': 3.520440681052536e-06, 'epoch': 0.89}
{'loss': 1.1062, 'learning_rate': 3.4825032626179854e-06, 'epoch': 0.91}
{'eval_loss': 1.0556385517120361, 'eval_accuracy': 0.5692653979946798, 'eval_runtime': 299.8264, 'eval_samples_per_second': 16.299, 'eval_steps_per_second': 2.038, 'epoch': 0.91}
{'loss': 1.0901, 'learning_rate': 3.444565844183435e-06, 'epoch': 0.93}
{'loss': 1.0893, 'learning_rate': 3.4066284257488853e-06, 'epoch': 0.96}
{'loss': 1.0774, 'learning_rate': 3.368691007314335e-06, 'epoch': 0.98}
{'loss': 1.0889, 'learning_rate': 3.3307535888797845e-06, 'epoch': 1.0}
{'loss': 0.9631, 'learning_rate': 3.292816170445234e-06, 'epoch': 1.02}
{'loss': 0.9584, 'learning_rate': 3.254878752010683e-06, 'epoch': 1.05}
{'loss': 0.9525, 'learning_rate': 3.2169413335761327e-06, 'epoch': 1.07}
{'loss': 0.9533, 'learning_rate': 3.1790039151415823e-06, 'epoch': 1.09}
{'loss': 0.9238, 'learning_rate': 3.1410664967070327e-06, 'epoch': 1.12}
{'loss': 0.9643, 'learning_rate': 3.1031290782724823e-06, 'epoch': 1.14}
{'eval_loss': 1.0842969417572021, 'eval_accuracy': 0.5754041334151831, 'eval_runtime': 299.4499, 'eval_samples_per_second': 16.32, 'eval_steps_per_second': 2.04, 'epoch': 1.14}
{'loss': 1.0011, 'learning_rate': 3.065191659837932e-06, 'epoch': 1.16}
{'loss': 0.9401, 'learning_rate': 3.0272542414033814e-06, 'epoch': 1.18}
{'loss': 0.9465, 'learning_rate': 2.989316822968831e-06, 'epoch': 1.21}
{'loss': 0.9714, 'learning_rate': 2.9513794045342805e-06, 'epoch': 1.23}
{'loss': 0.9541, 'learning_rate': 2.9134419860997305e-06, 'epoch': 1.25}
{'loss': 0.9496, 'learning_rate': 2.87550456766518e-06, 'epoch': 1.27}
{'loss': 0.9497, 'learning_rate': 2.8375671492306296e-06, 'epoch': 1.3}
{'loss': 0.9667, 'learning_rate': 2.799629730796079e-06, 'epoch': 1.32}
{'loss': 0.9656, 'learning_rate': 2.7616923123615287e-06, 'epoch': 1.34}
{'loss': 0.9706, 'learning_rate': 2.7237548939269783e-06, 'epoch': 1.37}
{'eval_loss': 1.0639281272888184, 'eval_accuracy': 0.5815428688356865, 'eval_runtime': 285.5621, 'eval_samples_per_second': 17.114, 'eval_steps_per_second': 2.14, 'epoch': 1.37}
{'loss': 0.9249, 'learning_rate': 2.685817475492428e-06, 'epoch': 1.39}
{'loss': 0.9641, 'learning_rate': 2.647880057057878e-06, 'epoch': 1.41}
{'loss': 0.9153, 'learning_rate': 2.6099426386233274e-06, 'epoch': 1.43}
{'loss': 0.9761, 'learning_rate': 2.572005220188777e-06, 'epoch': 1.46}
{'loss': 0.971, 'learning_rate': 2.5340678017542265e-06, 'epoch': 1.48}
{'loss': 0.9334, 'learning_rate': 2.496130383319676e-06, 'epoch': 1.5}
{'loss': 0.9622, 'learning_rate': 2.4581929648851256e-06, 'epoch': 1.53}
{'loss': 0.9495, 'learning_rate': 2.420255546450575e-06, 'epoch': 1.55}
{'loss': 0.9316, 'learning_rate': 2.3823181280160248e-06, 'epoch': 1.57}
{'loss': 0.9492, 'learning_rate': 2.3443807095814747e-06, 'epoch': 1.59}
{'eval_loss': 1.0569095611572266, 'eval_accuracy': 0.5948434622467772, 'eval_runtime': 285.2368, 'eval_samples_per_second': 17.133, 'eval_steps_per_second': 2.142, 'epoch': 1.59}
{'loss': 0.9313, 'learning_rate': 2.3064432911469243e-06, 'epoch': 1.62}
{'loss': 0.9169, 'learning_rate': 2.268505872712374e-06, 'epoch': 1.64}
{'loss': 0.9406, 'learning_rate': 2.2305684542778234e-06, 'epoch': 1.66}
{'loss': 0.9299, 'learning_rate': 2.192631035843273e-06, 'epoch': 1.68}
{'loss': 0.9419, 'learning_rate': 2.1546936174087225e-06, 'epoch': 1.71}
{'loss': 0.9681, 'learning_rate': 2.1167561989741725e-06, 'epoch': 1.73}
{'loss': 0.9118, 'learning_rate': 2.078818780539622e-06, 'epoch': 1.75}
{'loss': 0.8896, 'learning_rate': 2.0408813621050716e-06, 'epoch': 1.78}
{'loss': 0.9925, 'learning_rate': 2.002943943670521e-06, 'epoch': 1.8}
{'loss': 0.9565, 'learning_rate': 1.9650065252359708e-06, 'epoch': 1.82}
{'eval_loss': 1.042462944984436, 'eval_accuracy': 0.5968897073869449, 'eval_runtime': 285.3955, 'eval_samples_per_second': 17.124, 'eval_steps_per_second': 2.141, 'epoch': 1.82}
{'loss': 0.9514, 'learning_rate': 1.9270691068014203e-06, 'epoch': 1.84}
{'loss': 0.9458, 'learning_rate': 1.88913168836687e-06, 'epoch': 1.87}
{'loss': 0.9529, 'learning_rate': 1.8511942699323199e-06, 'epoch': 1.89}
{'loss': 0.9569, 'learning_rate': 1.8132568514977694e-06, 'epoch': 1.91}
{'loss': 0.9146, 'learning_rate': 1.775319433063219e-06, 'epoch': 1.93}
{'loss': 0.94, 'learning_rate': 1.7373820146286688e-06, 'epoch': 1.96}
{'loss': 0.9789, 'learning_rate': 1.6994445961941183e-06, 'epoch': 1.98}
{'loss': 0.9324, 'learning_rate': 1.6615071777595679e-06, 'epoch': 2.0}
{'loss': 0.8047, 'learning_rate': 1.6235697593250177e-06, 'epoch': 2.03}
{'loss': 0.7968, 'learning_rate': 1.5856323408904672e-06, 'epoch': 2.05}
{'eval_loss': 1.1153998374938965, 'eval_accuracy': 0.6020053202373644, 'eval_runtime': 286.1593, 'eval_samples_per_second': 17.078, 'eval_steps_per_second': 2.135, 'epoch': 2.05}
{'loss': 0.8242, 'learning_rate': 1.5476949224559168e-06, 'epoch': 2.07}
{'loss': 0.8071, 'learning_rate': 1.5097575040213666e-06, 'epoch': 2.09}
{'loss': 0.8078, 'learning_rate': 1.4718200855868161e-06, 'epoch': 2.12}
{'loss': 0.8117, 'learning_rate': 1.4338826671522657e-06, 'epoch': 2.14}
{'loss': 0.836, 'learning_rate': 1.3959452487177152e-06, 'epoch': 2.16}
{'loss': 0.7967, 'learning_rate': 1.358007830283165e-06, 'epoch': 2.19}
{'loss': 0.8111, 'learning_rate': 1.3200704118486146e-06, 'epoch': 2.21}
{'loss': 0.837, 'learning_rate': 1.2821329934140641e-06, 'epoch': 2.23}
{'loss': 0.8114, 'learning_rate': 1.244195574979514e-06, 'epoch': 2.25}
{'loss': 0.8358, 'learning_rate': 1.2062581565449635e-06, 'epoch': 2.28}
{'eval_loss': 1.099670171737671, 'eval_accuracy': 0.5979128299570289, 'eval_runtime': 292.0408, 'eval_samples_per_second': 16.734, 'eval_steps_per_second': 2.092, 'epoch': 2.28}
{'loss': 0.7858, 'learning_rate': 1.1683207381104132e-06, 'epoch': 2.3}
{'loss': 0.8177, 'learning_rate': 1.1303833196758628e-06, 'epoch': 2.32}
{'loss': 0.8321, 'learning_rate': 1.0924459012413124e-06, 'epoch': 2.34}
{'loss': 0.8169, 'learning_rate': 1.054508482806762e-06, 'epoch': 2.37}
{'loss': 0.8105, 'learning_rate': 1.0165710643722117e-06, 'epoch': 2.39}
{'loss': 0.815, 'learning_rate': 9.786336459376615e-07, 'epoch': 2.41}
{'loss': 0.7936, 'learning_rate': 9.406962275031109e-07, 'epoch': 2.44}
{'loss': 0.799, 'learning_rate': 9.027588090685606e-07, 'epoch': 2.46}
{'loss': 0.7802, 'learning_rate': 8.648213906340102e-07, 'epoch': 2.48}
{'loss': 0.7906, 'learning_rate': 8.268839721994598e-07, 'epoch': 2.5}
{'eval_loss': 1.1288460493087769, 'eval_accuracy': 0.6048700634335994, 'eval_runtime': 288.7913, 'eval_samples_per_second': 16.922, 'eval_steps_per_second': 2.116, 'epoch': 2.5}
{'loss': 0.8402, 'learning_rate': 7.889465537649095e-07, 'epoch': 2.53}
{'loss': 0.8148, 'learning_rate': 7.51009135330359e-07, 'epoch': 2.55}
{'loss': 0.8193, 'learning_rate': 7.130717168958087e-07, 'epoch': 2.57}
{'loss': 0.8059, 'learning_rate': 6.751342984612584e-07, 'epoch': 2.59}
{'loss': 0.8261, 'learning_rate': 6.371968800267079e-07, 'epoch': 2.62}
{'loss': 0.7776, 'learning_rate': 5.992594615921576e-07, 'epoch': 2.64}
{'loss': 0.7964, 'learning_rate': 5.613220431576073e-07, 'epoch': 2.66}
{'loss': 0.8492, 'learning_rate': 5.233846247230568e-07, 'epoch': 2.69}
{'loss': 0.811, 'learning_rate': 4.854472062885065e-07, 'epoch': 2.71}
{'loss': 0.7906, 'learning_rate': 4.4750978785395615e-07, 'epoch': 2.73}
{'eval_loss': 1.1181981563568115, 'eval_accuracy': 0.6079394311438511, 'eval_runtime': 288.1461, 'eval_samples_per_second': 16.96, 'eval_steps_per_second': 2.12, 'epoch': 2.73}
{'loss': 0.7773, 'learning_rate': 4.0957236941940577e-07, 'epoch': 2.75}
{'loss': 0.7856, 'learning_rate': 3.716349509848554e-07, 'epoch': 2.78}
{'loss': 0.8608, 'learning_rate': 3.33697532550305e-07, 'epoch': 2.8}
{'loss': 0.8241, 'learning_rate': 2.9576011411575466e-07, 'epoch': 2.82}
{'loss': 0.8184, 'learning_rate': 2.5782269568120433e-07, 'epoch': 2.85}
{'loss': 0.8344, 'learning_rate': 2.1988527724665392e-07, 'epoch': 2.87}
{'loss': 0.841, 'learning_rate': 1.8194785881210358e-07, 'epoch': 2.89}
{'loss': 0.8063, 'learning_rate': 1.440104403775532e-07, 'epoch': 2.91}
{'loss': 0.7725, 'learning_rate': 1.0607302194300282e-07, 'epoch': 2.94}
{'loss': 0.8423, 'learning_rate': 6.813560350845246e-08, 'epoch': 2.96}
{'eval_loss': 1.1183581352233887, 'eval_accuracy': 0.6122365459382034, 'eval_runtime': 287.6475, 'eval_samples_per_second': 16.99, 'eval_steps_per_second': 2.124, 'epoch': 2.96}
{'loss': 0.7925, 'learning_rate': 3.019818507390209e-08, 'epoch': 2.98}
{'train_runtime': 41731.9047, 'train_samples_per_second': 6.316, 'train_steps_per_second': 1.579, 'train_loss': 0.9778628304875231, 'epoch': 3.0}
